"id","name","journal_id:id","account_asset_id:id","account_depreciation_id:id","account_expense_depreciation_id:id","improvement_journal_id:id","impairment_journal_id:id","impairment_account_id:id","impairment_expense_account_id:id","impairment_reversal_account_id:id","method_time","method_number","method_period","method","method_progress_factor","prorata","date_min_prorate","sequence_id:id","asset_cancel_group_ids:id","asset_cancel_group_ids:id"
"kategori_aset_3","Tanah Gedung Kantor","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_1","group_pat_validator","group_pat_validator"
"kategori_aset_4","Tanah Rumah  Dinas","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_1","group_pat_validator","group_pat_validator"
"kategori_aset_5","Tanah Bangunan Lain","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_1","group_pat_validator","group_pat_validator"
"kategori_aset_6","Tanah Kosong ","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_1","group_pat_validator","group_pat_validator"
"kategori_aset_8","Biaya Adm. Gedung ","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_2","group_pat_validator","group_pat_validator"
"kategori_aset_9","Biaya Notaris","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_2","group_pat_validator","group_pat_validator"
"kategori_aset_10","Biaya Pengurusan Hak","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_2","group_pat_validator","group_pat_validator"
"kategori_aset_11","Honor Penaksir Tanah","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_2","group_pat_validator","group_pat_validator"
"kategori_aset_12","Pelepasan Hak Tanah","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_2","group_pat_validator","group_pat_validator"
"kategori_aset_13","Kekurangan Harga Tanah","account_journal_depreciation","account_001","account_001","account_001","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",0,"month","linear",0,"True",31,"sequence_lot_2","group_pat_validator","group_pat_validator"
