"id","name","parent_id:id","type"
"kategori_produk_1","Tanah",,"view"
"kategori_produk_2","Tanah","kategori_produk_1","view"
"kategori_produk_3","Tanah Gedung Kantor","kategori_produk_2","normal"
"kategori_produk_4","Tanah Rumah  Dinas","kategori_produk_2","normal"
"kategori_produk_5","Tanah Bangunan Lain","kategori_produk_2","normal"
"kategori_produk_6","Tanah Kosong ","kategori_produk_2","normal"
"kategori_produk_7","Biaya pengurusan tanah","kategori_produk_1","view"
"kategori_produk_8","Biaya Adm. Gedung ","kategori_produk_7","normal"
"kategori_produk_9","Biaya Notaris","kategori_produk_7","normal"
"kategori_produk_10","Biaya Pengurusan Hak","kategori_produk_7","normal"
"kategori_produk_11","Honor Penaksir Tanah","kategori_produk_7","normal"
"kategori_produk_12","Pelepasan Hak Tanah","kategori_produk_7","normal"
"kategori_produk_13","Kekurangan Harga Tanah","kategori_produk_7","normal"
"kategori_produk_14","Bangunan gedung kantor DAN  Rumah dinas",,"view"
"kategori_produk_15","Permanen","kategori_produk_14","view"
"kategori_produk_16","Bangunan Kantor Permanen","kategori_produk_15","normal"
"kategori_produk_17","Bangunan Rumah Dinas Permanen","kategori_produk_15","normal"
"kategori_produk_18","Bangunan Permanen Lainnya","kategori_produk_15","normal"
"kategori_produk_19","Tidak Permanen","kategori_produk_14","view"
"kategori_produk_20","Bangunan Kantor Tidak Permanen","kategori_produk_19","normal"
"kategori_produk_21","Bangunan Rumah Dinas Tidak Permanen","kategori_produk_19","normal"
"kategori_produk_22","Bangunan Tidak Permanen Lainnya","kategori_produk_19","normal"
"kategori_produk_23","Kendaraan",,"view"
"kategori_produk_24","Kendaraan roda 2","kategori_produk_23","view"
"kategori_produk_25","Sepeda","kategori_produk_24","normal"
"kategori_produk_26","Sepeda Motor","kategori_produk_24","normal"
"kategori_produk_27","Kendaraan roda 4 ATAU Lebih","kategori_produk_23","view"
"kategori_produk_28"," Mobil Sedan  ","kategori_produk_27","view"
"kategori_produk_29"," Mobil Minibus  ","kategori_produk_27","normal"
"kategori_produk_30"," Mobil Box ","kategori_produk_27","normal"
